,cause_0,effect_0,cause_1,effect_1,label
553,He whistled whenever a player scored a touchdown.,"The players called their coach ""The Flute"".",He yelled whenever a player fumbled the ball.,"The players called their coach ""The Flute"".",0
554,The woman complimented the man.,He blushed.,The woman complimented the man.,He sneezed.,0
555,The man caught a cold.,He sneezed.,The man caught a cold.,He blushed.,0
556,I applied pressure to the cut on my arm.,It healed.,I applied pressure to the cut on my arm.,It stopped bleeding.,1
557,I applied ointment on my wound regularly.,It stopped bleeding.,I applied ointment on my wound regularly.,It healed.,1
558,The woman had an infection.,She washed her hands.,The woman had an infection.,She took antibiotics.,1
559,The woman was about to cook.,She took antibiotics.,The woman was about to cook.,She washed her hands.,1
560,She installed the air conditioner in the room.,The woman fanned herself with her hand.,The air conditioner in the room broke.,The woman fanned herself with her hand.,1
561,The air conditioner in the room broke.,The woman's room is always cold.,She installed the air conditioner in the room.,The woman's room is always cold.,1
562,It was badly bruised.,The doctors amputated the patient's leg.,It was severely infected.,The doctors amputated the patient's leg.,1
563,It was badly bruised.,The doctor put an ice pack on the leg.,It was severely infected.,The doctor put an ice pack on the leg.,0
564,She felt self-conscious.,The girl stared at herself in the mirror.,The mirror was smudged.,The girl stared at herself in the mirror.,0
565,She felt self-conscious.,The girl could barely see her reflection.,The mirror was smudged.,The girl could barely see her reflection.,1
566,He fell asleep on his couch.,The man was bitten by mosquitoes.,He went camping in the woods.,The man was bitten by mosquitoes.,1
567,He went camping in the woods.,The man felt unrested in the morning.,He fell asleep on his couch.,The man felt unrested in the morning.,1
568,The woman presented her brother with a gift.,Her brother unwrapped the gift.,The woman presented her brother with a gift.,Her brother refused to accept the gift.,0
569,The woman's brother did not like the gift.,Her brother unwrapped the gift.,The woman's brother did not like the gift.,Her brother refused to accept the gift.,1
570,The administrator cleared her throat.,The meeting was postponed.,The administrator cleared her throat.,The meeting commenced.,1
571,Most members were unable to join.,The meeting was postponed.,Most members were unable to join.,The meeting commenced.,0
572,They were hot.,The children ran through the sprinkler.,They ate popsicles.,The children ran through the sprinkler.,0
573,They ate popsicles.,The children had a toothache.,They were hot.,The children had a toothache.,0
574,The man needed coins to fill the parking meter.,He begged people on the street for loose change.,The man needed coins to fill the parking meter.,He searched under his car seats for loose change.,1
575,The poor man recently lost his job.,He searched under his car seats for loose change.,The poor man recently lost his job.,He begged people on the street for loose change.,1
576,The customer thought the souvenir was overpriced.,The vender sold it to him.,The customer thought the souvenir was overpriced.,He bargained with the vendor.,1
577,The customer had enough money for the souvenir.,He bargained with the vendor.,The customer had enough money for the souvenir.,The vender sold it to him.,1
578,She discovered a new species.,The scientist gained recognition.,She received tenure at the university.,The scientist gained recognition.,0
579,She received tenure at the university.,The scientist continued with her ongoing research.,She discovered a new species.,The scientist continued with her ongoing research.,0
580,The car stopped at the crosswalk.,The pedestrian crossed the road.,The car stopped at the crosswalk.,The pedestrian waited on the sidewalk.,0
581,The pedestrian crossing signal turned red.,The pedestrian waited on the sidewalk.,The pedestrian crossing signal turned red.,The pedestrian crossed the road.,0
582,His brother tickled him.,The boy giggled uncontrollably.,His brother kicked him.,The boy giggled uncontrollably.,0
583,His brother kicked him.,The boy started crying loudly.,His brother tickled him.,The boy started crying loudly.,0
584,My knees buckled on the stairs.,I caught myself on the railing.,My knees buckled on the stairs.,The railing came loose from the wall.,0
585,I pulled too hard on the railing.,The railing came loose from the wall.,I pulled too hard on the railing.,I caught myself on the railing.,0
586,It was a clear night.,I went to bed.,It was late.,I went to bed.,1
587,It was a clear night.,I saw the stars.,It was late.,I saw the stars.,0
588,My friend was recovering from surgery.,I dropped her off at the hospital.,My friend was recovering from surgery.,I brought her a card and flowers.,1
589,My friend had to go for a health checkup.,I brought her a card and flowers.,My friend had to go for a health checkup.,I dropped her off at the hospital.,1
590,The DJ turned the music on.,People began to dance.,The DJ turned the music on.,People left the party.,0
591,The DJ did not play good music.,People began to dance.,The DJ did not play good music.,People left the party.,1
592,The surveillance camera was out of focus.,The security guard replayed the surveillance footage.,He noticed some suspicious activity.,The security guard replayed the surveillance footage.,1
593,The surveillance camera was out of focus.,The security guard could not identify the thief.,He noticed some suspicious activity.,The security guard could not identify the thief.,0
594,I was hungry.,I lingered in bed upon awakening.,It was Saturday.,I lingered in bed upon awakening.,1
595,It was Saturday.,My stomache started growling.,I was hungry.,My stomache started growling.,1
596,The man lifted the heavy box.,He scratched his back.,The man lifted the heavy box.,He put out his back.,1
597,The man was bitten by insects.,He scratched his back.,The man was bitten by insects.,He put out his back.,0
598,It contained a lot of junk.,The woman's purse was missing.,She left it unsupervised.,The woman's purse was missing.,1
599,It contained a lot of junk.,The woman emptied her mailbox.,She left it unsupervised.,The woman emptied her mailbox.,0
600,She had an allergic reaction.,The woman suffered amnesia.,She got into a car accident.,The woman suffered amnesia.,1
601,She had an allergic reaction.,The woman got a body rash.,She got into a car accident.,The woman got a body rash.,0
602,I needed to get cash.,I went to the bank.,I needed to get cash.,I bought a wallet.,0
603,I needed to carry cash.,I went to the bank.,I needed to carry cash.,I bought a wallet.,1
604,The bull bucked the rider.,The rider fell to the ground.,The bull chased the rider.,The rider fell to the ground.,0
605,The bull bucked the rider.,The rider ran at full speed.,The bull chased the rider.,The rider ran at full speed.,1
606,The boy wanted to be muscular.,He played computer games.,The boy wanted to be muscular.,He lifted weights.,1
607,The boy loved staying in his room.,He lifted weights.,The boy loved staying in his room.,He played computer games.,1
608,The scientist conducted an experiment.,She fabricated her data.,The scientist conducted an experiment.,She validated her theory.,1
609,The scientist could not finish her experiments on time.,She fabricated her data.,The scientist could not finish her experiments on time.,She validated her theory.,0
610,I stored it in the refrigerator.,The milk stayed cold.,It was pasteurized.,The milk stayed cold.,0
611,I stored it in the refrigerator.,The honey lasted longer.,It was pasteurized.,The honey lasted longer.,1
612,The parents shook a rattle in front of the baby.,The fussy baby calmed down.,The parents picked out a name for the baby.,The fussy baby calmed down.,0
613,The parents picked out a name for the baby.,The parents received a birth certificate.,The parents shook a rattle in front of the baby.,The parents received a birth certificate.,0
614,I put ice cubes in the hot soup.,The soup became thick.,I put ice cubes in the hot soup.,The soup cooled down.,1
615,I put flour in the soup.,The soup became thick.,I put flour in the soup.,The soup cooled down.,0
616,Her friend sat next to her at lunch.,The girl shared her lunch with her friend.,Her friend forgot to bring his lunch.,The girl shared her lunch with her friend.,1
617,Her friend forgot to bring his lunch.,The girl kept talking to her friend.,Her friend sat next to her at lunch.,The girl kept talking to her friend.,1
618,They apprehended the suspect.,The police closed the investigation.,The victim recovered.,The police closed the investigation.,0
619,They apprehended the suspect.,The police continued the investigation.,The victim recovered.,The police continued the investigation.,1
620,The rain subsided.,I went for a walk.,The rain subsided.,I browsed the internet.,0
621,I wanted to check the weather forecast.,I went for a walk.,I wanted to check the weather forecast.,I browsed the internet.,1
622,The cup of tea was scalding hot.,I poured it out.,The cup of tea was scalding hot.,I blew on it.,1
623,The water in tank was dirty.,I poured it out.,The water in tank was dirty.,I blew on it.,0
624,It was fake.,The photograph faded.,It was old.,The photograph faded.,1
625,It was fake.,The photograph was worthless.,It was old.,The photograph was worthless.,0
626,The bully mocked the boy.,The boy got a black eye.,The bully punched the boy.,The boy got a black eye.,1
627,The bully mocked the boy.,The boy felt humiliated.,The bully punched the boy.,The boy felt humiliated.,0
628,I misplaced my wallet.,I retraced my steps.,I misplaced my wallet.,I retrieved my phone.,0
629,I needed to call someone.,I retraced my steps.,I needed to call someone.,I retrieved my phone.,1
630,The hunter ran out of ammunition.,He reloaded the gun.,The hunter ran out of ammunition.,He aimed at the deer.,0
631,He wanted to show me antlers.,He reloaded the gun.,He wanted to show me antlers.,He aimed at the deer.,1
632,I ran the ice cube under warm water.,The ice cube vanished.,I ran the ice cube under warm water.,The ice cube stuck to my fingers.,0
633,I touched the ice cube.,The ice cube stuck to my fingers.,I touched the ice cube.,The ice cube vanished.,0
634,The window display caught her eye.,The customer came into the boutique.,She left her wallet at home.,The customer came into the boutique.,0
635,The window display caught her eye.,The customer was embarassed at the cash register.,She left her wallet at home.,The customer was embarassed at the cash register.,1
636,His meal was spicy.,The man drank water with his meal.,His meal was cold.,The man drank water with his meal.,0
637,His meal was cold.,The man asked the waiter to reheat his meal.,His meal was spicy.,The man asked the waiter to reheat his meal.,0
638,She was intoxicated.,The woman stayed away from public places.,She was contagious.,The woman stayed away from public places.,1
639,She was contagious.,The woman was not allowed to drive her car.,She was intoxicated.,The woman was not allowed to drive her car.,1
640,The putrid odor filled the room.,I clamped my hand over my nose.,The putrid odor filled the room.,I put the rubber gloves on.,0
641,I got ready to clean the room.,I put the rubber gloves on.,I got ready to clean the room.,I clamped my hand over my nose.,0
642,Her family got in touch with her.,The employee missed work.,There was a death in her family.,The employee missed work.,1
643,Her family got in touch with her.,The woman reconnected with distant relatives.,There was a death in her family.,The woman reconnected with distant relatives.,0
644,The magnet attracted the paperclip.,The paperclip dropped from the magnet.,The magnet attracted the paperclip.,The paperclip stuck to the magnet.,1
645,The magnet was too weak to attract the paperclip.,The paperclip stuck to the magnet.,The magnet was too weak to attract the paperclip.,The paperclip dropped from the magnet.,1
646,The gardener pulled the weeds.,The weeds produced seeds.,The gardener pulled the weeds.,The weeds came out of the soil.,1
647,The gardener did not pull out the weeds.,The weeds came out of the soil.,The gardener did not pull out the weeds.,The weeds produced seeds.,1
648,We ordered a pizza.,The pizza got cold.,We ordered a pizza.,The pizza was delivered.,1
649,We ordered a pizza but did not eat it all.,The pizza got cold.,We ordered a pizza but did not eat it all.,The pizza was delivered.,0
650,He went through a growth spurt.,The teenager grew taller than his father.,He joined the basketball team.,The teenager grew taller than his father.,0
651,He joined the basketball team.,The teenager made many new friends.,He went through a growth spurt.,The teenager made many new friends.,0
652,The procedure was costly.,The patient underwent the risky medical procedure.,Specialists recommended the procedure.,The patient underwent the risky medical procedure.,1
653,The procedure was costly.,The patient could not afford the medical procedure.,Specialists recommended the procedure.,The patient could not afford the medical procedure.,0
654,The man caught his shirtsleeve on the rungs of the fence.,He hopped the fence.,The man caught his shirtsleeve on the rungs of the fence.,The sleeve ripped.,1
655,The man wearing a short-sleeved shirt ran away but there was a fence.,He hopped the fence.,The man wearing a short-sleeved shirt ran away but there was a fence.,The sleeve ripped.,0
656,He left a note.,The investigators deemed the man's death a suicide.,He had children.,The investigators deemed the man's death a suicide.,0
657,He had children.,The investigators notified the family of the man's death.,He left a note.,The investigators notified the family of the man's death.,0
658,I downloaded a virus.,The computer crashed.,I backed up my files.,The computer crashed.,0
659,I backed up my files.,I did not worry about my computer crashing.,I downloaded a virus.,I did not worry about my computer crashing.,0
660,She lost a tooth.,The girl's mouth ached.,She swallowed her gum.,The girl's mouth ached.,0
661,She lost a tooth.,The girl worried about a clogged gut.,She swallowed her gum.,The girl worried about a clogged gut.,1
662,The room was dim.,I opened the blinds.,The room was dim.,I washed the windows.,0
663,The room was dirty.,I opened the blinds.,The room was dirty.,I washed the windows.,1
664,He was tired of carrying her.,The father put his daughter in her stroller.,She learned to walk.,The father put his daughter in her stroller.,0
665,She learned to walk.,The father took his daughter out of her stroller.,He was tired of carrying her.,The father took his daughter out of her stroller.,0
666,The spy was hired by the government.,The spy discovered the enemy's location.,The spy bugged the enemy's phone.,The spy discovered the enemy's location.,1
667,The spy bugged the enemy's phone.,The spy had many fake passports.,The spy was hired by the government.,The spy had many fake passports.,1
668,The child yanked the tablecloth.,The glasses on the table spilled.,The child drew on the table.,The glasses on the table spilled.,0
669,The child yanked the tablecloth.,The tablecloth needed to be washed.,The child drew on the table.,The tablecloth needed to be washed.,1
670,The water in the teapot started to boil.,The teapot whistled.,The water in the teapot started to boil.,The teapot cooled.,0
671,We forgot the water in the teapot.,The teapot whistled.,We forgot the water in the teapot.,The teapot cooled.,1
672,She felt shy.,The woman exaggerated the details of the story.,She wanted attention.,The woman exaggerated the details of the story.,1
673,She felt shy.,The woman did not tell the story to anyone.,She wanted attention.,The woman did not tell the story to anyone.,0
674,The woman hit a midlife crisis.,She went sky diving.,The woman hit a midlife crisis.,She retired.,0
675,The woman did not want to work anymore.,She went sky diving.,The woman did not want to work anymore.,She retired.,1
676,The man went into denial about the tragedy.,He got over it easily.,The man went into denial about the tragedy.,He refused to talk about it.,1
677,The man dealt well with the tragedy.,He refused to talk about it.,The man dealt well with the tragedy.,He got over it easily.,1
678,His mother passed away.,The man grieved.,His wife criticized him.,The man grieved.,0
679,His wife criticized him.,The man yelled at her.,His mother passed away.,The man yelled at her.,0
680,She was bitten by a dog.,The girl had a phobia of dogs.,She rescued an abandoned dog.,The girl had a phobia of dogs.,0
681,She was bitten by a dog.,The girl got yet another dog.,She rescued an abandoned dog.,The girl got yet another dog.,1
682,I made a resolution to eat a healthy diet.,I attended a yoga class.,I made a resolution to eat a healthy diet.,I bought fruits and vegetables.,1
683,I made a resolution to become fitter.,I attended a yoga class.,I made a resolution to become fitter.,I bought fruits and vegetables.,0
684,He suffered brain damage.,The patient went into a coma.,He suffered emotional trauma.,The patient went into a coma.,0
685,He suffered emotional trauma.,The patient went into a fugue state.,He suffered brain damage.,The patient went into a fugue state.,0
686,The friends' dinnertime conversation turned to politics.,The conversation quieted down.,The friends' dinnertime conversation turned to politics.,A debate erupted.,1
687,The friends' ran out of things to talk about.,The conversation quieted down.,The friends' ran out of things to talk about.,A debate erupted.,0
688,The mother needed help looking after her children.,She sent the children to daycare.,The mother needed help looking after her children.,She gave up custody of the children.,0
689,The mother needed help looking after her children.,She sent the children to daycare.,The mother needed help looking after her children.,She gave up custody of the children.,1
690,The man wanted to save money.,He cut back on making frivolous purchases.,The man wanted to save money.,He withdrew money from his savings account.,0
691,The man wanted to spend money.,He cut back on making frivolous purchases.,The man wanted to spend money.,He withdrew money from his savings account.,1
692,The floor contained broken glass.,I put shoes on.,The paint on the walls was wet.,I put shoes on.,0
693,The paint on the walls was wet.,The windows were left open.,The floor contained broken glass.,The windows were left open.,0
694,I requested the librarian's help.,The librarian located the book in the stacks.,The book was checked out.,The librarian located the book in the stacks.,0
695,The book was checked out.,The librarian told me that I couldn't borrow the book.,I requested the librarian's help.,The librarian told me that I couldn't borrow the book.,0
696,She held his hand.,The mother became eye level with her son.,She squatted down.,The mother became eye level with her son.,1
697,She held his hand.,The son had to walk as fast as his mother.,She squatted down.,The son had to walk as fast as his mother.,0
698,I was hunting for a new apartment.,I packed up my belongings.,I was moving out of my apartment.,I packed up my belongings.,1
699,I was hunting for a new apartment.,I called several realtors.,I was moving out of my apartment.,I called several realtors.,0
700,The girl desired her parent's approval.,She ran away from home.,The girl desired her parent's approval.,She obeyed her parent's rules.,1
701,The girl hated her parents.,She obeyed her parent's rules.,The girl hated her parents.,She ran away from home.,1
702,The truck crashed into the motorcycle on the bridge.,The motorcyclist died.,The truck crashed into the motorcycle on the bridge.,The bridge collapsed.,0
703,The truck crashed into the main pillar of the bridge.,The bridge collapsed.,The truck crashed into the main pillar of the bridge.,The motorcyclist died.,0
704,The swimmer won the race.,Her team lost the meet.,The swimmer won the race.,She received a gold medal.,1
705,The swimmer did not win the race.,Her team lost the meet.,The swimmer did not win the race.,She received a gold medal.,0
706,Factories increased their production.,Air pollution in the city worsened.,Factories shut down.,Air pollution in the city worsened.,0
707,Factories increased their production.,Air qualtity in the city improved.,Factories shut down.,Air qualtity in the city improved.,1
708,Her daughter set the kitchen table.,The mother scolded her daughter.,Her daughter burped at the kitchen table.,The mother scolded her daughter.,1
709,Her daughter set the kitchen table.,The mother praised her daughter.,Her daughter burped at the kitchen table.,The mother praised her daughter.,0
710,I turned off my phone.,I excused myself from the group.,My phone rang.,I excused myself from the group.,1
711,I turned off my phone.,I did not get any calls.,My phone rang.,I did not get any calls.,0
712,She dropped her ski poles.,The skier slipped on the slope.,She hit a patch of ice.,The skier slipped on the slope.,1
713,She dropped her ski poles.,The skier balanced only with her body.,She hit a patch of ice.,The skier balanced only with her body.,0
714,The print on the brochure was tiny.,The man retrieved a pen from his pocket.,The print on the brochure was tiny.,The man put his glasses on.,1
715,The man wanted to make a note.,The man retrieved a pen from his pocket.,The man wanted to make a note.,The man put his glasses on.,0
716,I flipped the light switch up and down.,The light faded.,I flipped the light switch up and down.,The light flickered.,1
717,I turned the light switch off.,The light faded.,I turned the light switch off.,The light flickered.,0
718,The man's watch was broken.,He waited at the bus stop.,The man's watch was broken.,He asked a stranger for the time.,1
719,The man arrived early.,He waited at the bus stop.,The man arrived early.,He asked a stranger for the time.,0
720,They were armed with rifles.,The soldiers were concealed in the brush.,They wore camouflage uniforms.,The soldiers were concealed in the brush.,1
721,They were armed with rifles.,The soldiers had a lot of ammunition.,They wore camouflage uniforms.,The soldiers had a lot of ammunition.,0
722,The man turned on the faucet.,Water flowed from the spout.,The man turned on the faucet.,The toilet filled with water.,0
723,The man flushed repeatedly.,The toilet filled with water.,The man flushed repeatedly.,Water flowed from the spout.,0
724,The girl found a bug in her cereal.,She lost her appetite.,The girl found a bug in her cereal.,She poured milk in the bowl.,0
725,The girl wanted to eat cereal.,She lost her appetite.,The girl wanted to eat cereal.,She poured milk in the bowl.,1
726,The woman retired.,She paid off her mortgage.,The woman retired.,She received her pension.,1
727,The woman won the lottery.,She received her pension.,The woman won the lottery.,She paid off her mortgage.,1
728,I wanted to conserve energy.,I swept the floor in the unoccupied room.,I wanted to conserve energy.,I shut off the light in the unoccupied room.,1
729,My friend wanted to stay overnight.,I swept the floor in the unoccupied room.,My friend wanted to stay overnight.,I shut off the light in the unoccupied room.,0
730,The cook froze it.,The hamburger meat browned.,The cook grilled it.,The hamburger meat browned.,1
731,The cook grilled it.,The hamburger meat can be stored for a long time.,The cook froze it.,The hamburger meat can be stored for a long time.,1
732,I doubted the salesman's pitch.,I turned his offer down.,I doubted the salesman's pitch.,He persuaded me to buy the product.,0
733,I salesman's pitch was very good.,He persuaded me to buy the product.,I salesman's pitch was very good.,I turned his offer down.,0
734,My friends urged me to go out.,I decided to stay home for the night.,The forecast called for storms.,I decided to stay home for the night.,1
735,My friends urged me to go out.,I decided not to stay home.,The forecast called for storms.,I decided not to stay home.,0
736,I was laughing.,My eyes became red and puffy.,I was sobbing.,My eyes became red and puffy.,1
737,I was sobbing.,My cheeks became red and puffy.,I was laughing.,My cheeks became red and puffy.,1
738,I put a match to the wick.,The flame on the candle went out.,I blew on the wick.,The flame on the candle went out.,1
739,I blew on the wick.,The candle lit up.,I put a match to the wick.,The candle lit up.,1
740,The man drank heavily at the party.,He had a headache the next day.,The man drank heavily at the party.,He had a runny nose the next day.,0
741,The man caught a cold on his way home.,He had a headache the next day.,The man caught a cold on his way home.,He had a runny nose the next day.,1
742,The man rolled the bowling ball down the alley.,The bowling ball knocked over the bowling pins.,The man dropped the bowling ball on his foot.,The bowling ball knocked over the bowling pins.,0
743,The man dropped the bowling ball on his foot.,The bowling ball did not knock over any bowling pins.,The man rolled the bowling ball down the alley.,The bowling ball did not knock over any bowling pins.,0
744,His obituary appeared in the newspaper.,The community learned of the man's death.,His family buried him in the cemetery.,The community learned of the man's death.,0
745,His family buried him in the cemetery.,The man did not get the burial at sea he wanted.,His obituary appeared in the newspaper.,The man did not get the burial at sea he wanted.,0
746,My computer crashed.,I installed new speakers.,My computer crashed.,I lost all my data.,1
747,My computer's sound didn't work.,I installed new speakers.,My computer's sound didn't work.,I lost all my data.,0
748,She believed her superiors were acting unethically.,The woman resigned from her job.,She aspired to hold an executive position in the firm.,The woman resigned from her job.,0
749,She believed her superiors were acting unethically.,The woman acquired an additional qualification for her job.,She aspired to hold an executive position in the firm.,The woman acquired an additional qualification for her job.,1
750,The jury announced its verdict.,The judge pounded the gavel.,The courtroom broke into uproar.,The judge pounded the gavel.,1
751,The courtroom broke into uproar.,The defendant listened anxiously.,The jury announced its verdict.,The defendant listened anxiously.,1
752,They escaped from jail.,The kidnappers released the hostage.,They accepted ransom money.,The kidnappers released the hostage.,1
753,They accepted ransom money.,There was a nationwide manhunt for the kidnappers.,They escaped from jail.,There was a nationwide manhunt for the kidnappers.,1
754,He ran out of onions.,The cook's eyes watered.,He cut an onion.,The cook's eyes watered.,1
755,He ran out of onions.,The cook went to the market.,He cut an onion.,The cook went to the market.,0
756,She burned her finger on the toaster.,The woman ran her finger under cold water.,She put a diamond ring on her finger.,The woman ran her finger under cold water.,0
757,She put a diamond ring on her finger.,The woman got ready for a night out.,She burned her finger on the toaster.,The woman got ready for a night out.,0
758,The student misspelled the word.,The teacher dismissed her.,The student misspelled the word.,The teacher corrected her.,1
759,The student felt sick and wanted to go home.,The teacher corrected her.,The student felt sick and wanted to go home.,The teacher dismissed her.,1
760,I took deep breaths.,I regained composure from my fit of anger.,My heart pounded.,I regained composure from my fit of anger.,0
761,I took deep breaths.,I noticed that I was very nervous.,My heart pounded.,I noticed that I was very nervous.,1
762,I put my hands under the running faucet.,The water splashed in my face.,I put my hands under the running faucet.,The soap rinsed off my hands.,1
763,I put my head under the running faucet.,The soap rinsed off my hands.,I put my head under the running faucet.,The water splashed in my face.,1
764,He scheduled a meeting with an important client.,The man dressed in his best suit.,His wife bought him a new tie.,The man dressed in his best suit.,0
765,He scheduled a meeting with an important client.,The man was disappointed about his birthday present.,His wife bought him a new tie.,The man was disappointed about his birthday present.,1
766,The man confessed his love for the woman.,The woman envied him.,The man confessed his love for the woman.,The woman rejected him.,1
767,The man showed his new car to the woman.,The woman rejected him.,The man showed his new car to the woman.,The woman envied him.,1
768,He went over the speed limit.,The driver got a flat tire.,He ran over a nail.,The driver got a flat tire.,1
769,He went over the speed limit.,The driver got a ticket.,He ran over a nail.,The driver got a ticket.,0
770,The couple behind me was whispering.,My view of the movie screen was blocked.,A tall person was sitting in front of me.,My view of the movie screen was blocked.,1
771,A tall person was sitting in front of me.,I could not enjoy the movie's beautiful soundtrack.,The couple behind me was whispering.,I could not enjoy the movie's beautiful soundtrack.,1
772,The girl refused to eat her vegetables.,Her father told her to drink her milk.,The girl refused to eat her vegetables.,Her father took away her dessert.,1
773,The girl was thirsty.,Her father took away her dessert.,The girl was thirsty.,Her father told her to drink her milk.,1
774,The secretary put the caller on hold.,The caller waited on the line.,The secretary put the caller on hold.,The caller's phone lost reception.,0
775,The caller drove through a long tunnel.,The caller's phone lost reception.,The caller drove through a long tunnel.,The caller waited on the line.,0
776,She broke her leg.,The woman walked with crutches.,She shaved her legs.,The woman walked with crutches.,0
777,She shaved her legs.,The woman's legs were smooth.,She broke her leg.,The woman's legs were smooth.,0
778,It was the top of the hour.,The clock chimed.,The hour seemed to drag on.,The clock chimed.,0
779,It was the top of the hour.,He was tired and stared at the clock.,The hour seemed to drag on.,He was tired and stared at the clock.,1
780,The chef hit the egg on the side of the bowl.,The egg cracked.,The chef hit the egg on the side of the bowl.,The egg rotted.,0
781,The chef forgot to put the egg in the fridge.,The egg rotted.,The chef forgot to put the egg in the fridge.,The egg cracked.,0
782,They were looking for illegal drugs.,The police searched the offender's car.,They were trying to elicit a confession.,The police searched the offender's car.,0
783,They were looking for illegal drugs.,The police tortured the suspect.,They were trying to elicit a confession.,The police tortured the suspect.,1
784,They were separated.,The couple travelled south for the winter.,They were retired.,The couple travelled south for the winter.,1
785,They were retired.,The couple did not live together.,They were separated.,The couple did not live together.,1
786,He promised his friend that he would go.,The man felt obligated to attend the event.,He turned down his friend's invitation to go.,The man felt obligated to attend the event.,0
787,He turned down his friend's invitation to go.,The friend was anggry at the man.,He promised his friend that he would go.,The friend was anggry at the man.,0
788,The man grew old.,He sold his belongings.,The man grew old.,His hair turned gray.,1
789,The man grew tired of having so many things.,He sold his belongings.,The man grew tired of having so many things.,His hair turned gray.,0
790,The friends decided to share the hamburger.,They ordered fries with the hamburger.,The friends decided to share the hamburger.,They cut the hamburger in half.,1
791,The son told his parents that a hamburger is not enough.,They ordered fries with the hamburger.,The son told his parents that a hamburger is not enough.,They cut the hamburger in half.,0
792,I twisted the cap off the soda bottle.,The soda leaked out.,I twisted the cap off the soda bottle.,The soda fizzed.,1
793,The soda bottle had a hole.,The soda fizzed.,The soda bottle had a hole.,The soda leaked out.,1
794,The students both received excellent grades.,The pair of students came under scrutiny by the teacher.,Their responses on the assignment were identical.,The pair of students came under scrutiny by the teacher.,1
795,The students both received excellent grades.,The teacher praised the pair of students.,Their responses on the assignment were identical.,The teacher praised the pair of students.,0
796,The student was in a rush to get to school on time.,He left his assignment at home.,The student was in a rush to get to school on time.,He brought his lunch to school.,0
797,The student enjoyed cooking.,He brought his lunch to school.,The student enjoyed cooking.,He left his assignment at home.,0
798,The humanitarian was difficult for the journalist to interview.,The journalist wrote a biography about the humanitarian's life.,The journalist was intrigued by the humanitarian's work.,The journalist wrote a biography about the humanitarian's life.,1
799,The humanitarian was difficult for the journalist to interview.,The journalist did not write about the humanitarian.,The journalist was intrigued by the humanitarian's work.,The journalist did not write about the humanitarian.,0
800,The man defied the authorities of the church.,He was excommunicated from the church.,The man defied the authorities of the church.,He donated money to the church.,0
801,The man is a long-time member of the church.,He donated money to the church.,The man is a long-time member of the church.,He was excommunicated from the church.,0
802,The woman's hair fell in her face.,She lathered shampoo into her hair.,The woman's hair fell in her face.,She pulled her hair back with a clip.,1
803,The woman began to wash her hair.,She lathered shampoo into her hair.,The woman began to wash her hair.,She pulled her hair back with a clip.,0
804,I chipped my fingernail.,The ring on my finger got stuck.,My finger swelled.,The ring on my finger got stuck.,1
805,I chipped my fingernail.,I cut my nails.,My finger swelled.,I cut my nails.,0
806,I pulled the rubber band.,It stretched.,I pulled the rubber band.,It flung across the room.,0
807,I shot the rubber band.,It stretched.,I shot the rubber band.,It flung across the room.,1
808,I brushed against poison ivy in my yard.,My skin broke out into a rash.,I eradicated the poison ivy from my yard.,My skin broke out into a rash.,0
809,I eradicated the poison ivy from my yard.,I no longer broke out into a rash.,I brushed against poison ivy in my yard.,I no longer broke out into a rash.,0
810,My subscription to the magazine expired.,I discarded the new issue.,My subscription to the magazine expired.,I stopped receiving new issues.,1
811,I already received a copy of the new magazine.,I stopped receiving new issues.,I already received a copy of the new magazine.,I discarded the new issue.,1
812,The detective revealed an anomaly in the case.,He scrapped his theory.,The detective revealed an anomaly in the case.,He finalized his theory.,0
813,The detective found the last piece of evidence in the case.,He finalized his theory.,The detective found the last piece of evidence in the case.,He scrapped his theory.,0
814,He shared his toys with his brother.,The boy threw a temper tantrum.,His brother took his toys from him.,The boy threw a temper tantrum.,1
815,His brother took his toys from him.,The boy had someone to play with.,He shared his toys with his brother.,The boy had someone to play with.,1
816,He skipped a grade in school.,The child learned how to read.,He began attending school.,The child learned how to read.,1
817,He began attending school.,The child was much smaller than his classmates.,He skipped a grade in school.,The child was much smaller than his classmates.,1
818,He ate a big lunch.,The boy skipped dinner.,His mother cooked his favorite meal.,The boy skipped dinner.,0
819,He ate a big lunch.,The boy rushed home for dinner.,His mother cooked his favorite meal.,The boy rushed home for dinner.,1
820,She was irritated with her friend's whining.,The woman lavished her friend with flattery.,She wanted to ask her friend for a favor.,The woman lavished her friend with flattery.,1
821,She wanted to ask her friend for a favor.,The woman yelled at her friend.,She was irritated with her friend's whining.,The woman yelled at her friend.,1
822,The pants were new.,The key was missing from my pants pocket.,The pocket had a hole.,The key was missing from my pants pocket.,1
823,The pants were new.,The pants had no defects.,The pocket had a hole.,The pants had no defects.,0
824,He ran a marathon.,The man fainted.,He took a nap.,The man fainted.,0
825,He ran a marathon.,The man felt refreshed.,He took a nap.,The man felt refreshed.,1
826,The competition was sabotaged.,The man lost the competition.,He intimidated his competitors.,The man lost the competition.,0
827,The competition was sabotaged.,The man won the competition.,He intimidated his competitors.,The man won the competition.,1
828,Her son lost his cat.,The mother called an ambulance.,Her son fell out of his bed.,The mother called an ambulance.,1
829,Her son fell out of his bed.,The mother called all neighbors.,Her son lost his cat.,The mother called all neighbors.,1
